"movie_imdb_id","movie_names","production_company","id","id_str","name","screen_name","verified","hashtag_movie","movie_release_dates_list","toDate","fromDate"
"tt13622118","Cryptozoo","Magnolia Pictures",NA,NA,NA,NA,NA,"#Cryptozoo",2021-08-20,"202108200000","202107210000"
"tt13622168","Homeroom","Hulu",NA,NA,NA,NA,NA,"#Homeroom",2021-08-12,"202108120000","202107130000"
"tt14030526","Introducing, Selma Blair","Discovery+ / LD Entertainment",302288855,"302288855","Selma Blair","SelmaBlair",TRUE,"#Introducing,SelmaBlair",2021-10-21,"202110210000","202109210000"
"tt14031338","Language Lessons","Shout! Studios",NA,NA,NA,NA,NA,"#LanguageLessons",2021-09-10,"202109100000","202108110000"
"tt14315756","Single All the Way","Netflix / Muse Entertainment",NA,NA,NA,NA,NA,"#SingleAlltheWay",2021-12-02,"202112020000","202111020000"
"tt14512538","Roadrunner: A Film About Anthony Bourdain","Focus Features",1356738424397520896,"1356738424397520896","Roadrunner","RoadrunnerMovie",TRUE,"#Roadrunner:AFilmAboutAnthonyBourdain",2021-07-16,"202107160000","202106160000"
"tt14547524","National Champions","STXfilms / Thunder Road Films",1385360037288189952,"1385360037288189957","National Champions","NationalChamps",TRUE,"#NationalChampions",2021-12-10,"202112100000","202111100000"
"tt14578032","God's Not Dead: We the People","Pinnacle Peak Pictures",716760859,"716760859","God's Not Dead The Movie","GodsNotDeadFilm",TRUE,"#God'sNotDead:WethePeople",2021-10-04,"202110040000","202109040000"
"tt14673560","Ride the Eagle","Decal / JTJ Films",NA,NA,NA,NA,NA,"#RidetheEagle",2021-07-30,"202107300000","202106300000"
"tt14731142","The Princess Switch 3: Romancing the Star","Netflix",NA,NA,NA,NA,NA,"#ThePrincessSwitch3:RomancingtheStar",2021-11-18,"202111180000","202110190000"
"tt14731254","Val","Amazon Studios / A24",25545512,"25545512","Val Kilmer","valkilmer",TRUE,"#Val",2021-08-06,"202108060000","202107070000"
"tt14769324","Show Me the Father","Affirm Films",NA,NA,NA,NA,NA,"#ShowMetheFather",2021-09-10,"202109100000","202108110000"
"tt14857602","The Jesus Music","Lionsgate",1400458122431320064,"1400458122431320067","The Jesus Music","JesusMusicMovie",TRUE,"#TheJesusMusic",2021-10-01,"202110010000","202109010000"
"tt15385930","Justin Bieber: Our World","Amazon Studios",NA,NA,NA,NA,NA,"#JustinBieber:OurWorld",2021-10-08,"202110080000","202109080000"
"tt1587420","Mixtape","Netflix",NA,NA,NA,NA,NA,"#Mixtape",2021-12-03,"202112030000","202111030000"
"tt1697800","Die in a Gunfight","Lionsgate",NA,NA,NA,NA,NA,"#DieinaGunfight",2021-07-16,"202107160000","202106160000"
"tt1924245","Cry Macho","Warner Bros. Pictures / Malpaso Productions / HBO Max",1408480401681620992,"1408480401681620997","Cry Macho Film","CryMachoFilm",TRUE,"#CryMacho",2021-09-17,"202109170000","202108180000"
