"movie_id","revenue","total_runtime_in_minute","meta_crtics_count","meta_score","release_date"
"tt1003266",0,NA,1,NA,NA
"tt0116533",0,100,1,NA,NA
"tt0145715",0,100,2,NA,NA
"tt0814092",0,90,0,NA,NA
"tt0126218",0,93,6,NA,NA
"tt7828170",0,NA,0,NA,NA
"tt0107920",0,90,16,NA,NA
"tt0140754",0,88,1,NA,NA
"tt0098533",0,115,11,NA,NA
"tt10395748",0,91,3,71,1640995200
"tt5761986",0,81,15,NA,1585008000
"tt10448548",0,NA,0,NA,NA
"tt3699702",0,93,3,NA,1550102400
"tt5547910",0,83,29,NA,NA
"tt11961700",0,NA,7,NA,1598486400
"tt8385474",8030085,109,62,43,1558051200
"tt6722030",10855054,102,95,39,1556841600
"tt2825596",0,95,7,14,1569542400
"tt7562334",0,104,7,NA,NA
"tt9534808",0,85,27,NA,1573171200
"tt2093056",0,98,11,NA,1621555200
"tt10110872",0,98,15,NA,NA
"tt10151656",0,108,6,68,NA
"tt13286020",0,NA,0,NA,NA
"tt4733298",0,NA,3,NA,1526256000
"tt2379673",0,84,0,NA,NA
"tt2032572",0,128,36,30,1476403200
"tt13435326",0,NA,0,NA,NA
"tt11486994",0,79,6,NA,NA
"tt6836734",0,109,19,NA,NA
"tt2275629",16350,137,1,NA,NA
"tt4659760",0,NA,0,NA,NA
"tt8749922",0,96,4,NA,NA
"tt3371366",44680073,154,298,27,NA
"tt4439102",470,88,25,26,1479427200
"tt3209790",0,NA,0,NA,NA
"tt11305898",0,90,2,NA,1590969600
"tt7131622",41082018,161,646,83,1564099200
"tt8708446",0,NA,0,NA,NA
"tt6222286",0,88,14,36,1558051200
"tt12366342",0,NA,0,NA,NA
"tt12366306",0,NA,0,NA,NA
"tt12366368",0,NA,0,NA,NA
"tt13611368",0,NA,0,NA,1600214400
"tt12356852",0,76,1,NA,1598918400
"tt13055780",0,106,22,NA,1607904000
"tt9735976",0,106,1,NA,1604188800
"tt8362228",0,102,6,NA,1588464000
"tt7370952",430898,94,7,NA,NA
"tt10156586",0,85,5,NA,1610409600
"tt9710558",0,67,0,NA,NA
"tt8523028",0,91,6,NA,1588377600
"tt10027184",0,NA,0,NA,NA
"tt9098210",0,NA,0,NA,NA
"tt7460842",0,NA,0,NA,NA
"tt2433432",0,NA,0,NA,NA
"tt5161080",0,91,5,NA,1502323200
"tt11697484",0,93,14,NA,1598918400
"tt10942522",0,NA,0,NA,NA
"tt3038708",0,93,57,NA,1563494400
"tt7062832",0,NA,0,NA,NA
"tt5130402",0,NA,0,NA,NA
"tt9296764",0,NA,0,NA,NA
"tt3289804",0,94,5,NA,NA
"tt3683686",0,NA,0,NA,NA
"tt2638048",0,83,2,NA,NA
"tt3250018",0,NA,0,NA,1380931200
"tt11404862",0,NA,0,NA,NA
"tt7781432",0,108,111,69,1602720000
"tt8385130",0,NA,0,NA,NA
"tt8685878",0,NA,0,NA,NA
"tt8164744",0,NA,0,NA,NA
"tt12866432",0,NA,0,NA,NA
"tt13179918",0,88,3,NA,1609113600
"tt11279448",0,NA,0,NA,NA
"tt8187474",0,NA,0,NA,NA
"tt8408666",0,NA,0,NA,NA
"tt11080012",0,NA,0,NA,NA
"tt10514312",0,75,6,NA,1571616000
"tt10264296",0,NA,1,NA,1553644800
"tt8145820",0,83,2,NA,NA
"tt6267600",0,110,2,NA,1645747200
"tt2141645",0,NA,0,NA,NA
"tt2246557",0,NA,0,NA,NA
"tt8191850",0,97,6,NA,NA
"tt9178402",0,96,67,39,1597968000
"tt10358198",0,116,54,NA,1591660800
"tt4354756",0,87,49,51,NA
"tt2619512",0,83,6,NA,NA
"tt6009582",0,88,31,NA,NA
"tt4588594",0,97,3,NA,NA
"tt3539290",0,NA,0,NA,NA
"tt1791528",328184,148,438,81,1420761600
"tt3257692",0,84,7,NA,1398470400
"tt7878126",0,NA,0,NA,NA
"tt8426594",14138,88,100,66,1554422400
"tt5737582",0,94,37,63,1519948800
"tt7273090",0,NA,0,NA,NA
"tt5006478",0,NA,0,NA,NA
"tt9800258",0,NA,0,NA,NA
"tt11253526",0,99,4,NA,NA
"tt5690810",22145,114,67,60,1561680000
"tt6215166",0,NA,1,NA,NA
"tt3717252",13688751,91,187,23,1483660800
"tt7915464",0,109,1,NA,1600214400
"tt11744604",0,NA,1,NA,1580688000
"tt8994960",0,NA,0,NA,NA
"tt6246534",0,102,12,NA,1571356800
"tt3380310",0,NA,1,NA,NA
"tt1489887",6933620,102,277,84,1558656000
"tt9060598",0,NA,0,NA,NA
"tt3653110",0,NA,0,NA,NA
"tt3767634",0,NA,1,NA,NA
"tt3395000",0,NA,0,NA,NA
"tt7127184",0,77,6,NA,NA
"tt7504726",24791624,100,176,48,1582243200
"tt9741276",0,NA,0,NA,NA
"tt10266322",0,NA,0,NA,NA
"tt3219686",0,105,4,NA,NA
"tt6535880",0,92,115,69,1568332800
"tt4827442",0,93,2,NA,NA
"tt6064652",0,NA,2,NA,NA
"tt4137520",0,NA,0,NA,NA
"tt7395114",0,138,203,55,NA
"tt8310476",0,107,7,50,1613692800
"tt4411584",0,107,61,32,1596153600
"tt8415728",0,119,7,NA,NA
"tt5718046",933,97,9,NA,1535673600
"tt12125988",0,NA,0,NA,1576972800
"tt8426182",0,73,21,NA,NA
"tt7575702",0,73,8,NA,NA
"tt1285009",10402271,85,172,48,1520553600
"tt7638348",0,100,138,56,1614902400
"tt7616148",132987,109,104,72,1566518400
"tt5342950",0,99,39,42,1575590400
"tt6317656",0,95,85,54,1611705600
"tt6582384",0,NA,2,NA,NA
"tt1371155",37563,113,146,65,NA
"tt1465487",52628,105,127,59,NA
"tt1251357",0,90,3,NA,1248048000
"tt1083478",0,NA,0,NA,NA
"tt9115528",0,95,9,43,1594339200
"tt8364138",0,93,31,41,1597968000
"tt3612126",11404113,94,190,41,1578009600
"tt7364522",0,98,3,NA,1579824000
"tt1881109",0,96,17,28,1569542400
"tt8751928",0,100,22,NA,1584403200
"tt3124146",0,NA,0,NA,NA
"tt1617122",0,NA,0,NA,NA
"tt0493160",0,95,20,NA,NA
"tt0848592",0,89,8,NA,NA
"tt3766354",36011640,121,239,50,1532044800
"tt6000478",61999,122,166,58,1511308800
"tt2671706",129462,139,329,79,1482624000
"tt2404435",34703397,132,392,54,1474588800
